Disease,Category,Common Symptoms,Orthodox (Conventional) Treatment,Herbal / Traditional Remedies (commonly referenced),Notes
Cerebral Palsy,Neurological (developmental),"Motor impairment, abnormal muscle tone from early childhood","Physiotherapy, occupational therapy, supportive management",Not recommended as sole treatment,
Febrile Seizures (Children),Neurological,Seizure associated with high fever in young children,"Fever management (paracetamol), safety positioning; medical evaluation",Tepid sponging for fever (avoid cold water/ice),Seek medical evaluation for first episode
Osteoarthritis,Musculoskeletal,"Joint pain/stiffness, worse with activity, reduced mobility","Paracetamol/NSAIDs, physiotherapy, weight management","Ginger, turmeric for anti-inflammatory support; warm compress",
Rheumatoid Arthritis,Musculoskeletal (autoimmune),"Symmetric joint pain/swelling, morning stiffness, fatigue","NSAIDs, disease-modifying drugs (methotrexate), corticosteroids",Not a substitute for DMARDs,
Low Back Pain,Musculoskeletal,"Lower back pain, may radiate to leg, stiffness","Analgesics/NSAIDs, physiotherapy, activity modification","Warm compress, ginger/turmeric paste application",
Sickle Cell Disease,Hematological/Genetic,"Recurrent pain crises, anemia, jaundice, fatigue, swelling of hands/feet","Hydroxyurea, folic acid, pain management during crises, blood transfusion when needed","Adequate hydration, warm compress during pain crisis (supportive, not curative)",Very common in West Africa; genetic counseling and newborn screening recommended
Osteoporosis,Musculoskeletal,"Bone fragility, fractures with minimal trauma","Calcium/vitamin D supplementation, bisphosphonates, weight-bearing exercise","Calcium-rich local foods (e.g., leafy greens, dried fish with bones)",
Fractures,Musculoskeletal (Trauma),"Pain, swelling, deformity, inability to bear weight after injury","Immobilization/casting, analgesia, surgical fixation if needed",Not recommended as substitute - traditional bone-setting carries risk of complications if not done safely,
Sprains and Strains,Musculoskeletal,"Pain, swelling, bruising after joint/muscle injury","RICE (rest, ice, compression, elevation), NSAIDs",Warm compress after initial swelling subsides,
Muscle Cramps,Musculoskeletal,Sudden painful muscle contraction,"Stretching, hydration, electrolyte correction",Adequate hydration and mineral-rich diet,
Fibromyalgia,Musculoskeletal,"Widespread pain, fatigue, sleep disturbance","Analgesics, low-dose antidepressants, exercise therapy",Not recommended as sole treatment,
Frozen Shoulder,Musculoskeletal,"Shoulder stiffness and pain, reduced range of motion","Physiotherapy, NSAIDs, corticosteroid injection if needed","Warm compress, gentle massage",
Eczema (Atopic Dermatitis),Dermatological,"Itchy, dry, inflamed skin patches","Emollients, topical corticosteroids, antihistamines for itching","Shea butter, coconut oil for skin moisturizing",
Psoriasis,Dermatological,"Thick, scaly, red skin plaques","Topical corticosteroids, vitamin D analogues, phototherapy for severe cases",Aloe vera gel application (supportive),
Acne Vulgaris,Dermatological,"Pimples, blackheads, oily skin, scarring in severe cases","Topical retinoids, benzoyl peroxide, oral antibiotics for moderate-severe cases","Neem paste, aloe vera gel (supportive)",
Contact Dermatitis,Dermatological,"Red, itchy rash after contact with irritant/allergen","Avoid trigger, topical corticosteroids, antihistamines",Aloe vera gel application,
Urticaria (Hives),Dermatological,"Itchy raised welts on skin, may come and go",Antihistamines; identify and avoid trigger,Not recommended as sole treatment,
Vitiligo,Dermatological,Patchy loss of skin pigmentation,"Topical corticosteroids/calcineurin inhibitors, phototherapy",Not recommended as sole treatment,
Albinism-related Skin Issues,Dermatological,"Sun sensitivity, increased skin cancer risk","Sun protection (clothing, sunscreen), regular skin checks",Shea butter for skin moisture (not sun protection substitute),Sunscreen use is essential - not optional
Melasma,Dermatological,"Dark patches on face, worsened by sun exposure","Sun protection, topical hydroquinone/retinoids under guidance",Not recommended without medical guidance,
Boils (Furunculosis),Dermatological,"Painful red lump with pus, often recurrent","Warm compress, incision and drainage if fluctuant, antibiotics if spreading",Warm compress with neem leaf water,
Keloids,Dermatological,"Raised, thickened scar tissue beyond wound edges","Corticosteroid injections, silicone sheeting, surgical options (with recurrence risk)",Not recommended as sole treatment,Common concern; consult dermatologist for cosmetic-sensitive scars
Pityriasis Rosea,Dermatological,"Oval scaly patches on trunk, often after a 'herald patch'","Usually self-limiting; antihistamines for itching, moisturizers",Not recommended,
Skin Abscess,Dermatological,"Painful, swollen, pus-filled lump","Incision and drainage, antibiotics if cellulitis present",Warm compress,
Chronic Leg Ulcers,Dermatological,"Non-healing skin wound, often on lower leg","Wound care, treat underlying cause (venous, diabetic, sickle cell), antibiotics if infected","Honey dressing (traditional wound care, evidence-supported for some uses)",
Prickly Heat (Miliaria),Dermatological,"Small itchy red bumps in hot, humid conditions","Cool environment, loose clothing, calamine lotion","Talcum/shea-based powders, aloe vera gel",
Alopecia (Hair Loss),Dermatological,Patchy or diffuse hair loss,Treat underlying cause; topical minoxidil for pattern hair loss,"Coconut oil, castor oil scalp massage (traditional, limited evidence)",
Photodermatitis (Sun Allergy),Dermatological,Rash after sun exposure,"Sun avoidance, protective clothing, antihistamines",Shea butter for skin protection (supportive),
Cataract,Eye,"Progressive blurry vision, glare sensitivity, cloudy pupil",Surgical lens replacement (definitive treatment),Not recommended - surgery is only cure,
Glaucoma,Eye,"Gradual peripheral vision loss, eye pain (acute form), halos around lights","Topical eye drops (e.g., timolol, latanoprost), laser or surgery if needed",Not recommended - risk of vision loss without treatment,Regular eye pressure checks important
Refractive Errors (Near/Far-sightedness),Eye,"Blurred vision, eye strain, headaches",Corrective glasses or contact lenses,Not applicable,
Vitamin A Deficiency (Xerophthalmia),Eye/Nutritional,"Night blindness, dry eyes, corneal damage in severe cases","Vitamin A supplementation, dietary improvement","Increased intake of red palm oil, carrots, dark leafy greens, mango",Common in children with poor diet diversity
Otitis Externa (Swimmer's Ear),ENT,"Ear pain, itching, discharge, worse with ear pulling","Topical antibiotic/antifungal ear drops, keep ear dry",Warm compress,
Epistaxis (Nosebleed),ENT,"Bleeding from the nose, may be recurrent","Pinch nostrils, cold compress; cauterization if recurrent/severe",Cold compress on nose bridge,
Tonsillitis,ENT,"Sore throat, swollen tonsils, fever, difficulty swallowing",Analgesics; antibiotics if bacterial (streptococcal),"Warm salt water gargle, ginger-honey tea",
Hearing Loss (Age-related/Noise-induced),ENT,"Gradual difficulty hearing, especially high pitches","Hearing aids, avoid loud noise exposure, treat reversible causes",Not applicable,
Dental Caries (Tooth Decay),Dental/Oral,"Tooth pain, sensitivity, visible cavity","Dental filling, extraction if severe, fluoride treatment","Chewing stick (e.g., miswak-type sticks used traditionally for oral hygiene)",
Gingivitis / Periodontal Disease,Dental/Oral,"Bleeding, swollen gums, bad breath","Professional dental cleaning, improved oral hygiene, antiseptic mouthwash","Salt water rinse, chewing stick use",
Dental Abscess,Dental/Oral,"Severe tooth pain, facial swelling, fever","Antibiotics, dental drainage/extraction","Warm salt water rinse (supportive only, not curative)",
Mouth Ulcers (Aphthous Stomatitis),Dental/Oral,Small painful sores inside mouth,"Topical analgesic gels, avoid irritant foods","Honey application, salt water rinse",
Depression,Mental Health,"Persistent sadness, loss of interest, fatigue, sleep/appetite changes","Antidepressants (e.g., SSRIs), psychotherapy/counseling",Community and family support; avoid substituting therapy with unproven remedies,Stigma reduction and access to counseling are important; seek professional help
Anxiety Disorders,Mental Health,"Excessive worry, restlessness, rapid heartbeat, difficulty concentrating","Psychotherapy (CBT), and medication (SSRIs/benzodiazepines short-term) if needed","Relaxation techniques, community support",
Postpartum Depression,Mental Health,"Low mood, difficulty bonding with baby, fatigue after childbirth","Counseling, antidepressants if needed, family support",Community/family support system,
Substance Use Disorder,Mental Health,"Compulsive substance use, withdrawal symptoms, impaired function","Counseling, supervised detoxification, rehabilitation programs",Not recommended as sole treatment,Seek professional addiction services
Psychosis / Schizophrenia,Mental Health,"Hallucinations, delusions, disorganized thinking","Antipsychotic medication, psychosocial support",Not a substitute for medication,Avoid stigmatizing traditional practices that delay psychiatric care
Post-Traumatic Stress Disorder (PTSD),Mental Health,"Flashbacks, avoidance, hypervigilance after trauma","Trauma-focused psychotherapy, medication if needed",Community/family support,
Pre-eclampsia / Eclampsia,Maternal Health,"High blood pressure in pregnancy, swelling, protein in urine, seizures (eclampsia)","Antihypertensives, magnesium sulfate for seizure prevention, delivery when indicated",Not recommended - medical emergency requiring hospital care,
Postpartum Hemorrhage,Maternal Health,Excessive bleeding after childbirth,"Uterotonics (oxytocin), fluid resuscitation, emergency obstetric care",Not recommended - medical emergency,
Anemia in Pregnancy,Maternal Health,"Fatigue, pallor, breathlessness during pregnancy","Iron and folic acid supplementation, treat underlying cause","Iron-rich local foods (leafy greens, liver, beans)",
Obstructed Labour,Maternal Health,"Prolonged labour, severe pain, fetal distress","Emergency obstetric care, possible cesarean section",Not recommended - medical emergency,
Ectopic Pregnancy,Maternal Health,"Abdominal pain, vaginal bleeding, dizziness in early pregnancy",Emergency surgical or medical management,Not recommended - medical emergency,
Miscarriage (Spontaneous Abortion),Maternal Health,"Vaginal bleeding, cramping, passage of tissue in early pregnancy",Medical evaluation; may need medication or surgical management,Not recommended without medical evaluation,
Infertility,Reproductive Health,Inability to conceive after 12 months of trying,"Fertility evaluation and treatment (both partners), assisted reproduction if needed",Community counseling support; avoid unproven remedies that delay proper evaluation,
Menstrual Disorders (Dysmenorrhea),Reproductive Health,Painful menstrual cramps,"NSAIDs, hormonal treatment if severe","Warm compress, ginger tea",
Uterine Fibroids,Reproductive Health,"Heavy menstrual bleeding, pelvic pain/pressure","Hormonal treatment, myomectomy or hysterectomy if severe",Not recommended as sole treatment,
Female Genital Cutting Complications,Reproductive Health,"Bleeding, infection, chronic pain, childbirth complications","Wound care, infection treatment, reconstructive surgery when needed, counseling",Not recommended,Prevention through education is key; complications need specialist care
Prostate Cancer Screening Concerns,Reproductive/Urology,"Urinary changes, pelvic pain (often asymptomatic early)","PSA screening for at-risk men, biopsy/treatment per specialist evaluation",Not recommended as sole treatment,
Severe Acute Malnutrition (Kwashiorkor),Nutritional (Pediatric),"Swelling (edema), thin limbs, skin/hair changes, irritability in children","Therapeutic feeding (RUTF), treat infections, hospital care for complications",Locally available protein-rich foods once stabilized (under guidance),Medical emergency in severe cases
Severe Acute Malnutrition (Marasmus),Nutritional (Pediatric),"Severe wasting, visible ribs, low weight-for-height","Therapeutic feeding programs, treat infections",Nutrient-dense local foods once stabilized,
Iron Deficiency Anemia,Nutritional,"Fatigue, pallor, breathlessness, poor concentration","Iron supplementation, dietary improvement, treat underlying cause","Iron-rich foods: liver, beans, dark leafy greens, dried fish",
Rickets (Vitamin D/Calcium Deficiency),Nutritional (Pediatric),"Bone deformity, delayed growth, bowed legs in children",Vitamin D and calcium supplementation,"Sunlight exposure, calcium-rich foods",
Failure to Thrive,Pediatric,Poor weight gain/growth in infants/children,"Nutritional assessment and support, treat underlying medical cause",Nutrient-dense weaning foods,
Diaper/Nappy Rash,Pediatric/Dermatological,"Red, irritated skin in diaper area","Barrier cream (zinc oxide), frequent diaper changes",Shea butter application,
"Umbilical Cord Infection (Omphalitis, Newborn)",Pediatric,"Redness, discharge, foul smell at umbilical stump","Topical/systemic antibiotics, hospital care if severe",Keep cord clean and dry; avoid unclean substances on cord,"Avoid traditional substances (ash, herbs) directly on umbilical stump - infection risk"
Neonatal Jaundice,Pediatric,Yellowing of skin/eyes in newborn,Phototherapy; exchange transfusion in severe cases,Not recommended - medical evaluation needed,Sunlight exposure alone is not sufficient treatment for significant jaundice
Colic (Infant),Pediatric,Excessive crying in an otherwise healthy infant,"Reassurance, feeding technique review, gentle abdominal massage",Gentle warm compress on abdomen,
Growth Stunting (Chronic Malnutrition),Nutritional (Pediatric),"Short stature for age, delayed development","Nutritional rehabilitation, address recurrent infections, improve diet diversity","Diverse local diet: eggs, beans, groundnuts, vegetables",
Sickle Cell Trait Counseling,Hematological/Genetic,Usually asymptomatic; important for genetic counseling,"Genetic counseling, screening before marriage/childbearing (community practice)",Not applicable,
G6PD Deficiency,Hematological/Genetic,"Jaundice/anemia triggered by certain drugs, foods (fava beans), infections","Avoid triggering drugs/foods, supportive care during hemolytic episodes",Not recommended,
Thalassemia,Hematological/Genetic,"Anemia, fatigue, growth delay in children","Blood transfusions, iron chelation therapy, folic acid",Not recommended as sole treatment,
Aplastic Anemia,Hematological,"Fatigue, easy bruising, recurrent infections","Blood transfusion, immunosuppressive therapy, bone marrow transplant in select cases",Not recommended,
Hemophilia,Hematological/Genetic,"Prolonged bleeding, easy bruising, joint bleeds","Factor replacement therapy, avoid trauma/NSAIDs",Not recommended,
Folate Deficiency Anemia,Hematological/Nutritional,"Fatigue, pallor, glossitis","Folic acid supplementation, dietary improvement","Green leafy vegetables, beans",
Cervical Cancer,Oncology,"Abnormal vaginal bleeding/discharge, pelvic pain (often late symptoms)","HPV vaccination for prevention, screening (Pap smear/VIA), surgery/chemoradiation per stage",Not recommended as treatment,Leading cancer among women in the region; screening saves lives
Breast Cancer,Oncology,"Breast lump, skin changes, nipple discharge","Surgery, chemotherapy, radiotherapy, hormonal therapy per stage",Not recommended as sole treatment - delays worsen prognosis,Early detection through self-exam and screening improves outcomes
Liver Cancer (Hepatocellular Carcinoma),Oncology,"Abdominal pain, weight loss, jaundice, abdominal swelling","Surgery, targeted therapy, palliative care depending on stage",Not recommended,Often linked to chronic Hepatitis B/C - vaccination and screening help prevent
Prostate Cancer,Oncology,"Urinary difficulty, pelvic pain (often asymptomatic early)","Surgery, radiotherapy, hormonal therapy per stage and PSA/biopsy findings",Not recommended as sole treatment,
Burkitt Lymphoma,Oncology (Pediatric),Rapidly growing jaw/facial or abdominal mass in children,Intensive chemotherapy (specialist pediatric oncology care),Not recommended - urgent specialist referral needed,Common childhood cancer in region; time-sensitive
Kaposi Sarcoma,Oncology,"Purple/brown skin lesions, often associated with HIV","Antiretroviral therapy, chemotherapy for advanced disease",Not recommended,
Esophageal Cancer,Oncology,"Difficulty swallowing, weight loss, chest discomfort","Surgery, chemoradiotherapy depending on stage",Not recommended,
Colorectal Cancer,Oncology,"Change in bowel habits, rectal bleeding, weight loss","Surgery, chemotherapy, screening (colonoscopy) for early detection",Not recommended,
Rift Valley Fever,Zoonotic (Viral),"Fever, weakness, back pain; rare hemorrhagic/eye complications",Supportive care; no specific antiviral,Not recommended,Avoid contact with sick livestock
Q Fever,Zoonotic (Bacterial),"Fever, headache, fatigue, pneumonia-like symptoms",Doxycycline,Not recommended,
Snakebite Envenomation,Toxicological/Emergency,"Swelling, pain, bleeding, paralysis, or shock after snakebite","Antivenom (species-specific), supportive care, hospital admission",Not recommended - can delay life-saving antivenom; keep bite area immobilized and seek care immediately,"Do not cut, suck, or apply tourniquet to the wound; seek hospital care urgently"
Scorpion Sting,Toxicological,"Severe local pain, swelling, occasionally systemic symptoms","Analgesics, antivenom for severe systemic cases, supportive care",Cold compress for pain relief,
Food-borne Botulism,Bacterial/Toxin,"Progressive muscle weakness, difficulty swallowing/breathing","Antitoxin, supportive/respiratory care (hospital emergency)",Not recommended - medical emergency,
Heat Stroke,Environmental,"High body temperature, confusion, hot dry skin, collapse","Rapid cooling, IV fluids, emergency care","Cool water sponging, shade, oral fluids for mild heat exhaustion",Medical emergency if severe
Malnutrition-associated Noma (Cancrum Oris),Bacterial/Nutritional (Pediatric),Rapidly destructive gangrenous infection of the mouth/face in malnourished children,"Urgent antibiotics, nutritional rehabilitation, surgical reconstruction later",Not recommended - medical emergency,Rare but severe; linked to malnutrition and poor sanitation
"Otitis Media, Chronic Suppurative",ENT,"Persistent ear discharge, hearing loss","Topical antibiotic/antiseptic ear drops, ear dryness, surgery if needed",Keep ear dry; avoid inserting foreign objects,
Pharyngitis (Viral),Viral/Respiratory,"Sore throat, mild fever, no pus on tonsils","Supportive care, analgesics, warm fluids","Warm salt water gargle, ginger-honey tea",
Malaria in Pregnancy,Vector-borne,"Fever, chills, anemia, risk of low birth weight","ACT (per trimester guidance), intermittent preventive treatment with sulfadoxine-pyrimethamine",Not recommended as sole treatment,High-risk group; needs prompt orthodox treatment
Anemia of Chronic Disease,Hematological,"Fatigue, pallor, associated with chronic illness","Treat underlying condition, iron only if deficiency confirmed","Balanced, iron-rich diet",
Chronic Fatigue Syndrome,General/Unclear etiology,"Persistent fatigue not relieved by rest, poor concentration","Graded activity, symptom management, rule out other causes","Balanced diet, adequate rest",
Vertigo (Benign Paroxysmal Positional),Neurological/ENT,Sudden spinning sensation with head movement,"Epley maneuver (repositioning), antivertigo medication (e.g., betahistine)",Ginger tea for nausea,
Motion Sickness,General,"Nausea, dizziness during travel","Antihistamines (e.g., dimenhydrinate), avoid reading while moving",Ginger (tea/capsule/candy),
Insomnia,Sleep/Mental Health,"Difficulty falling/staying asleep, daytime fatigue","Sleep hygiene counseling, short-term sedatives if needed, treat underlying cause","Warm milk, chamomile-type herbal tea, relaxation routine",
Obstructive Sleep Apnea,Sleep/Respiratory,"Loud snoring, breathing pauses during sleep, daytime sleepiness","Weight management, CPAP therapy, surgery in select cases",Not recommended as sole treatment,
Chronic Pelvic Pain,Reproductive Health,Persistent lower abdominal/pelvic pain,"Identify and treat underlying cause; analgesics, hormonal therapy if indicated",Warm compress,
Endometriosis,Reproductive Health,"Painful periods, pelvic pain, infertility","Hormonal therapy, NSAIDs, surgery in severe cases",Not recommended as sole treatment,
Menopause Symptoms,Reproductive Health,"Hot flashes, mood changes, irregular periods","Hormone replacement therapy (selected cases), symptomatic treatment","Balanced diet with phytoestrogen-rich foods (e.g., soybeans) - evidence limited",
Erectile Dysfunction,Reproductive/Urology,Difficulty achieving/maintaining erection,"PDE5 inhibitors (e.g., sildenafil), address underlying cause (diabetes, cardiovascular disease)","Not recommended without medical evaluation, especially in men with heart disease",
Malaria-associated Anemia (Children),Hematological/Vector-borne,"Pallor, fatigue, poor feeding in children with repeated malaria","Antimalarial treatment, iron supplementation, blood transfusion if severe",Iron-rich diet,
Xerosis (Dry Skin),Dermatological,"Dry, flaky, itchy skin, common in harmattan season","Emollients/moisturizers, avoid harsh soap","Shea butter, coconut oil application",
Sunburn,Dermatological,"Red, painful skin after sun exposure","Cool compress, moisturizer, analgesics; sun protection prevention",Aloe vera gel application,
Insect Bite Reactions,Dermatological/Allergic,"Itchy, red, swollen area at bite site","Antihistamines, topical corticosteroid cream, cold compress","Aloe vera gel, neem oil application",
Food Allergy,Allergic/Immunologic,"Rash, swelling, digestive upset, or anaphylaxis after eating trigger food","Avoid trigger food; antihistamines, epinephrine for anaphylaxis",Not recommended as sole treatment for severe reactions,
Anaphylaxis,Allergic/Emergency,"Sudden swelling, breathing difficulty, low blood pressure after allergen exposure","Immediate epinephrine injection, emergency care",Not recommended - medical emergency,Call for emergency help immediately
Malocclusion (Dental),Dental/Oral,Misaligned teeth/bite,Orthodontic treatment (braces),Not applicable,
Otomycosis (Fungal Ear Infection),Fungal/ENT,"Ear itching, discharge, discomfort","Topical antifungal ear drops, keep ear dry",Not recommended as sole treatment,
Malaria-Typhoid Co-infection,Vector-borne/Bacterial,"Prolonged fever, weakness, abdominal discomfort",Confirm both diagnoses; treat with ACT plus appropriate antibiotic,Not recommended as sole treatment,Common presentation in the region; avoid presumptive treatment without testing where possible
"Chronic Cough (Non-TB, Non-asthma)",Respiratory,Persistent cough >8 weeks without clear cause,"Investigate underlying cause (GERD, postnasal drip, medication); treat accordingly",Ginger-honey tea for symptomatic relief,
Malnutrition-related Edema,Nutritional,Swelling of feet/legs/face due to poor nutrition,"Nutritional rehabilitation, treat underlying cause (protein deficiency)",Protein-rich local foods once medically stabilized,
Heat Cramps / Dehydration (Exertional),Environmental,"Muscle cramps, thirst, fatigue in hot weather/exertion","Oral rehydration with fluids/electrolytes, rest in cool area","Coconut water, fruit-based rehydration drinks",
Hyperreactive Malarial Splenomegaly,Vector-borne/Hematological,"Chronic massive spleen enlargement, fatigue, anemia","Long-term antimalarial prophylaxis, specialist management",Not recommended as sole treatment,
Down Syndrome-related Health Concerns,Genetic/Developmental,"Developmental delay, characteristic features, associated heart/thyroid issues","Multidisciplinary supportive care, screening for associated conditions",Not applicable,
Autism Spectrum Disorder,Developmental,"Social communication differences, repetitive behaviors","Behavioral therapy, early intervention, supportive education",Not applicable - avoid unproven 'cures',Early support services improve outcomes
Attention-Deficit/Hyperactivity Disorder (ADHD),Developmental/Mental Health,"Inattention, hyperactivity, impulsivity in children","Behavioral therapy, stimulant medication if indicated",Not recommended as sole treatment,
Malabsorption Syndrome (General),Gastrointestinal,"Chronic diarrhea, weight loss, nutrient deficiencies","Identify and treat underlying cause, nutritional support",Nutrient-dense diet under guidance,
Carotenemia (Excess Carotene Intake),General/Nutritional,Yellow-orange skin discoloration without jaundice (eyes remain white),Usually benign; reduce excess intake if desired,Not applicable - generally harmless,Distinguish from true jaundice via eye examination
Malaria Prevention / Vector Control,Vector-borne,N/A - preventive care,"Insecticide-treated bed nets, indoor residual spraying, prompt treatment-seeking","Neem-based repellents (supportive, not a substitute for ITNs)",Prevention is central to reducing regional malaria burden
